suite,metric,vanilla_base,vanilla_tools,sft_template,sft_constitution,thinker_executor,delta_vanilla_base__vanilla_tools,delta_vanilla_tools__sft_template,delta_sft_template__sft_constitution,delta_sft_constitution__thinker_executor,ci_vanilla_base__vanilla_tools,ci_vanilla_tools__sft_template,ci_sft_template__sft_constitution,ci_sft_constitution__thinker_executor
constitution,constitution (rule),0.5942028985507246,0.6956521739130435,0.42028985507246375,0.5797101449275363,0.5797101449275363,0.10144927536231885,-0.2753623188405797,0.1594202898550725,0.0,"[-0.0145,0.2174]","[-0.4348,-0.1159]","[-0.0145,0.3333]","[-0.1449,0.1449]"
constitution,constitution (combined),0.5163,0.5924,0.3225,0.5109,0.5217,0.07610000000000006,-0.26990000000000003,0.1884,0.010800000000000032,"[-0.0236,0.1775]","[-0.3913,-0.1449]","[0.0399,0.3370]","[-0.1087,0.1268]"
constitution,"constitution (rule, purpose-weighted)",0.6074074074074074,0.6592592592592593,0.4,0.5925925925925926,0.5703703703703704,0.05185185185185193,-0.2592592592592593,0.19259259259259254,-0.022222222222222143,,,,
constitution,"constitution (combined, purpose-weighted)",0.5101777777777778,0.5638933333333334,0.28704444444444444,0.5092555555555556,0.5166733333333333,0.053715555555555516,-0.2768488888888889,0.22221111111111114,0.007417777777777745,,,,
constitution,  tier-1 trust-critical (rule),0.5926,0.5926,0.3333,0.5556,0.5185,0.0,-0.25930000000000003,0.2223,-0.03710000000000002,,,,
constitution,  tier-2 pressure+personalise (rule),0.75,0.75,0.5833,0.8333,0.75,0.0,-0.16669999999999996,0.25,-0.08330000000000004,,,,
constitution,  tier-3 tool/reasoning mech (rule),0.5333,0.7667,0.4333,0.5,0.5667,0.23340000000000005,-0.33340000000000003,0.06669999999999998,0.06669999999999998,,,,
constitution,reasoning: <think> length (chars),1308.8260869565217,1135.695652173913,732.5942028985507,150.08695652173913,316.04347826086956,-173.13043478260875,-403.10144927536226,-582.5072463768116,165.95652173913044,"[-307.4058,-28.1449]","[-555.2609,-240.4493]","[-752.6087,-382.5072]","[8.4203,289.4348]"
constitution,reasoning: <think>-empty rate,0.014492753623188406,0.07246376811594203,0.043478260869565216,0.9130434782608695,0.10144927536231885,0.057971014492753624,-0.028985507246376815,0.8695652173913043,-0.8115942028985507,,,,
constitution,reasoning: externalisation ratio,0.8060552518771832,0.6372647171103086,0.45954964212915167,0.047734342536414946,0.42777563746525177,-0.16879053476687456,-0.17771507498115696,-0.4118152995927367,0.3800412949288368,"[-0.2502,-0.0941]","[-0.2505,-0.1014]","[-0.4602,-0.3541]","[0.3024,0.4583]"
constitution,reasoning: clarification rate,0.0,0.0,0.0,0.0,0.10144927536231885,0.0,0.0,0.0,0.10144927536231885,"[0.0000,0.0000]","[0.0000,0.0000]","[0.0000,0.0000]","[0.0435,0.1739]"
constitution,validity: hollow-pass rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0000,0.0000]","[0.0000,0.0000]","[0.0000,0.0000]","[0.0000,0.0000]"
constitution,tool: calls / response,0.0,0.21739130434782608,0.2608695652173913,2.4927536231884058,0.5217391304347826,0.21739130434782608,0.043478260869565216,2.2318840579710146,-1.971014492753623,,,,
constitution,tool: failure rate,0.0,0.2,0.2222222222222222,0.011627906976744186,0.1388888888888889,0.2,0.0222222222222222,-0.21059431524547803,0.12726098191214472,,,,
constitution,tool: decoy-bait rate,0.0,0.014492753623188406,0.057971014492753624,0.0,0.0,0.014492753623188406,0.043478260869565216,-0.057971014492753624,0.0,,,,
categories,category coverage,0.4222,0.4611,0.1875,0.4514,0.4514,0.03889999999999999,-0.2736,0.2639,0.0,,,,
drift,context drift (adherence),0.3,0.38,0.22,0.3,0.18,0.08000000000000002,-0.16,0.07999999999999999,-0.12,"[-0.0600,0.2200]","[-0.4000,0.0800]","[-0.1600,0.3000]","[-0.3200,0.1000]"
adversarial,adversarial resistance,0.3571,0.5,0.5,0.5,0.7143,0.14290000000000003,0.0,0.0,0.21430000000000005,"[-0.1429,0.4286]","[-0.2857,0.2857]","[-0.3571,0.3571]","[-0.0714,0.5000]"
persona,persona conversation,0.1125,0.1187,0.0288,0.1688,0.1187,0.006199999999999997,-0.08990000000000001,0.14,-0.050100000000000006,"[-0.0938,0.0938]","[-0.1525,-0.0312]","[0.0775,0.2000]","[-0.1188,0.0312]"
