suite,metric,vanilla_base,vanilla_tools,sft_template,sft_constitution,thinker_executor,delta_vanilla_base__vanilla_tools,delta_vanilla_tools__sft_template,delta_sft_template__sft_constitution,delta_sft_constitution__thinker_executor,ci_vanilla_base__vanilla_tools,ci_vanilla_tools__sft_template,ci_sft_template__sft_constitution,ci_sft_constitution__thinker_executor
constitution,constitution (rule),0.5942028985507246,0.6956521739130435,0.42028985507246375,0.5797101449275363,0.6231884057971014,0.10144927536231885,-0.2753623188405797,0.1594202898550725,0.04347826086956519,"[-0.0145,0.2174]","[-0.4348,-0.1159]","[-0.0145,0.3333]","[-0.0870,0.1739]"
constitution,constitution (combined),0.5163,0.5924,0.3225,0.5109,0.5054,0.07610000000000006,-0.26990000000000003,0.1884,-0.00550000000000006,"[-0.0236,0.1775]","[-0.3913,-0.1449]","[0.0399,0.3370]","[-0.1268,0.1159]"
constitution,"constitution (rule, purpose-weighted)",0.6074074074074074,0.6592592592592593,0.4,0.5925925925925926,0.6444444444444445,0.05185185185185193,-0.2592592592592593,0.19259259259259254,0.05185185185185193,,,,
constitution,"constitution (combined, purpose-weighted)",0.5101777777777778,0.5638933333333334,0.28704444444444444,0.5092555555555556,0.5296333333333333,0.053715555555555516,-0.2768488888888889,0.22221111111111114,0.020377777777777717,,,,
constitution,  tier-1 trust-critical (rule),0.5926,0.5926,0.3333,0.5556,0.6296,0.0,-0.25930000000000003,0.2223,0.07400000000000007,,,,
constitution,  tier-2 pressure+personalise (rule),0.75,0.75,0.5833,0.8333,0.8333,0.0,-0.16669999999999996,0.25,0.0,,,,
constitution,  tier-3 tool/reasoning mech (rule),0.5333,0.7667,0.4333,0.5,0.5333,0.23340000000000005,-0.33340000000000003,0.06669999999999998,0.033299999999999996,,,,
constitution,reasoning: <think> length (chars),1308.8260869565217,1135.695652173913,732.5942028985507,150.08695652173913,361.0289855072464,-173.13043478260875,-403.10144927536226,-582.5072463768116,210.94202898550725,"[-307.4058,-28.1449]","[-555.2609,-240.4493]","[-752.6087,-382.5072]","[100.5072,321.8986]"
constitution,reasoning: <think>-empty rate,0.014492753623188406,0.07246376811594203,0.043478260869565216,0.9130434782608695,0.2898550724637681,0.057971014492753624,-0.028985507246376815,0.8695652173913043,-0.6231884057971013,,,,
constitution,reasoning: externalisation ratio,0.8060552518771832,0.6372647171103086,0.45954964212915167,0.047734342536414946,0.34792915484359027,-0.16879053476687456,-0.17771507498115696,-0.4118152995927367,0.3001948123071753,"[-0.2502,-0.0941]","[-0.2505,-0.1014]","[-0.4602,-0.3541]","[0.2256,0.3762]"
constitution,reasoning: clarification rate,0.0,0.0,0.0,0.0,0.2753623188405797,0.0,0.0,0.0,0.2753623188405797,"[0.0000,0.0000]","[0.0000,0.0000]","[0.0000,0.0000]","[0.1739,0.3768]"
constitution,validity: hollow-pass rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0000,0.0000]","[0.0000,0.0000]","[0.0000,0.0000]","[0.0000,0.0000]"
constitution,tool: calls / response,0.0,0.21739130434782608,0.2608695652173913,2.4927536231884058,0.7681159420289855,0.21739130434782608,0.043478260869565216,2.2318840579710146,-1.7246376811594204,,,,
constitution,tool: failure rate,0.0,0.2,0.2222222222222222,0.011627906976744186,0.1509433962264151,0.2,0.0222222222222222,-0.21059431524547803,0.1393154892496709,,,,
constitution,tool: decoy-bait rate,0.0,0.014492753623188406,0.057971014492753624,0.0,0.014492753623188406,0.014492753623188406,0.043478260869565216,-0.057971014492753624,0.014492753623188406,,,,
categories,category coverage,0.4222,0.4611,0.1875,0.4514,0.5125,0.03889999999999999,-0.2736,0.2639,0.06109999999999993,,,,
drift,context drift (adherence),0.3,0.38,0.22,0.3,0.25,0.08000000000000002,-0.16,0.07999999999999999,-0.04999999999999999,"[-0.0600,0.2200]","[-0.4000,0.0800]","[-0.1600,0.3000]","[-0.2300,0.1500]"
adversarial,adversarial resistance,0.3571,0.5,0.5,0.5,0.5714,0.14290000000000003,0.0,0.0,0.07140000000000002,"[-0.1429,0.4286]","[-0.2857,0.2857]","[-0.3571,0.3571]","[-0.2143,0.3571]"
persona,persona conversation,0.1125,0.1187,0.0288,0.1688,0.0625,0.006199999999999997,-0.08990000000000001,0.14,-0.1063,"[-0.0938,0.0938]","[-0.1525,-0.0312]","[0.0775,0.2000]","[-0.1625,-0.0562]"
