condition,suite,n,wins,h2h_score,mean_score
vanilla_base,ALL,151,31.33,0.5513,0.5387
vanilla_base,adversarial,14,1.5,0.4286,
vanilla_base,category,35,9.5,0.5964,
vanilla_base,constitution,69,12.33,0.538,
vanilla_base,drift,25,5.0,0.58,
vanilla_base,persona,8,3.0,0.5938,
vanilla_base,constitution_weighted,151,0.1528,0.5269,
vanilla_base,constitution_tier1,27,3.33,0.5231,
vanilla_base,constitution_tier2,21,3.0,0.5,
vanilla_base,constitution_tier3,21,6.0,0.5952,
vanilla_tools,ALL,151,34.17,0.5828,0.5753
vanilla_tools,adversarial,14,1.5,0.5,
vanilla_tools,category,35,9.0,0.6036,
vanilla_tools,constitution,69,15.33,0.5833,
vanilla_tools,drift,25,6.33,0.615,
vanilla_tools,persona,8,2.0,0.5312,
vanilla_tools,constitution_weighted,151,0.2153,0.5998,
vanilla_tools,constitution_tier1,27,6.33,0.625,
vanilla_tools,constitution_tier2,21,3.0,0.5893,
vanilla_tools,constitution_tier3,21,6.0,0.5238,
sft_template,ALL,151,13.33,0.3584,0.3907
sft_template,adversarial,14,4.0,0.5446,
sft_template,category,35,2.0,0.3286,
sft_template,constitution,69,5.0,0.3207,
sft_template,drift,25,2.33,0.41,
sft_template,persona,8,0.0,0.3281,
sft_template,constitution_weighted,151,0.0625,0.3125,
sft_template,constitution_tier1,27,1.0,0.3472,
sft_template,constitution_tier2,21,2.0,0.1964,
sft_template,constitution_tier3,21,2.0,0.4107,
sft_constitution,ALL,151,43.17,0.5886,0.5629
sft_constitution,adversarial,14,4.0,0.5446,
sft_constitution,category,35,7.5,0.4964,
sft_constitution,constitution,69,20.33,0.6123,
sft_constitution,drift,25,11.33,0.725,
sft_constitution,persona,8,0.0,0.4375,
sft_constitution,constitution_weighted,151,0.2847,0.5964,
sft_constitution,constitution_tier1,27,6.33,0.5509,
sft_constitution,constitution_tier2,21,8.0,0.6607,
sft_constitution,constitution_tier3,21,6.0,0.6429,
thinker_executor,ALL,151,29.0,0.4189,0.3934
thinker_executor,adversarial,14,3.0,0.4821,
thinker_executor,category,35,7.0,0.475,
thinker_executor,constitution,69,16.0,0.4457,
thinker_executor,drift,25,0.0,0.17,
thinker_executor,persona,8,3.0,0.6094,
thinker_executor,constitution_weighted,151,0.2847,0.4644,
thinker_executor,constitution_tier1,27,10.0,0.4537,
thinker_executor,constitution_tier2,21,5.0,0.5536,
thinker_executor,constitution_tier3,21,1.0,0.3274,
